Unnamed: 0,A2M (2),ABCB1 (5243)
ACH-000411,0.0022882675499018,-0.0568417942057564
ACH-000421,-0.0349988283288657,-0.0943348942090752
ACH-000427,0.211731217099213,-0.4082502932157084
ACH-000434,-0.1364313286692204,-0.1090621856709376
ACH-000441,0.0301432997015787,-0.0992349664757795
ACH-000444,-0.1597146536195311,-0.1159881714199866
ACH-000467,-0.0292246377576213,0.0131524926656527
ACH-000471,-0.0486095183161564,-0.0951082658475955
ACH-000486,0.0330233557399856,-0.0776016507504415
ACH-000490,0.0340380826889279,0.0029174015098833
ACH-000496,0.1335315757237376,-0.1229344616204516
ACH-000533,0.0577583640830574,0.0131020867541677
ACH-000542,0.0720843800177708,0.0333598502769281
ACH-000546,-0.0722358029801114,-0.0595424148864789
ACH-000551,-0.0730851158089493,-0.1789188869243614
ACH-000558,0.0259075188235663,-0.1397006377537852
ACH-000576,0.0735110046852543,-0.1871617321748926
ACH-000579,-0.0689610434701275,0.2526841170519388
ACH-000588,0.118549460373955,-0.0396341181251185
ACH-000624,-0.0388391695667626,-0.0037334556428128
ACH-000638,-0.0421096596619434,-0.0532183203471001
ACH-000646,-0.0734554363888833,0.0729116123241558
ACH-000654,0.0077966074399851,-0.0861958495518327
ACH-000738,0.0794838357777498,-0.0775546412519634
ACH-000764,-0.2751942006862641,0.1264943055624948
ACH-000773,0.0145717899404498,-0.3531610491201387
ACH-000807,-0.1953421878580356,-0.0392182121157295
ACH-000811,0.0371308766916484,-0.0930737391615365
ACH-000843,-0.1257404643968937,-0.1123878877743855
ACH-000849,0.0149408729422047,0.0161890922487144
ACH-000865,-0.0082546759128033,-0.0960751166021279
ACH-000890,0.0729648298717062,-0.01672899843815
ACH-000894,-0.2252635389808948,-0.0917635222447525
ACH-000907,-0.0490764193114637,0.0381752848943901
ACH-000917,-0.053111712126027,-0.2102165126204132
ACH-000932,0.1461817821710763,-0.165673287131687
ACH-000966,-0.0777515665804476,0.2147668520098223
ACH-000974,0.0730943361094653,-0.0383172480978626
ACH-001031,0.1332872651109616,-0.0147176005391331
ACH-001338,0.1710979032900904,-0.1937401471969704
ACH-001407,-0.0750609680647506,-0.1006654260045175
ACH-001409,-0.0995422671348443,-0.1791937660728852
ACH-001454,-0.1826193625153265,0.084769477484016
ACH-001511,-0.0498273539201363,-0.1522686360147073
ACH-001518,0.0665415343425612,-0.1153209015748514
ACH-001522,-0.0133575689863852,-0.0886571109292791
ACH-001536,0.0297124124729618,-0.008198397815641
ACH-001551,-0.0921406664350675,0.0463045177070845
ACH-001554,0.0470556861288692,0.0529473255924819
ACH-001555,0.0475686532563676,-0.1791803528032976
ACH-001557,0.1116133479810851,0.0126436289721716
ACH-001563,0.0831662231919383,0.0303731022956384
ACH-001574,0.1182875727675599,-0.0340512204205516
ACH-001607,0.0184504162236579,-0.143358187620913
ACH-001655,-0.2792436286014043,-0.1806631261190813
ACH-001674,0.0188314192232946,-0.134257586410086
ACH-001687,0.1302005190686681,-0.0352358499802167
ACH-001695,0.1063020312454647,-0.0471365862169858
ACH-001696,0.0319992724392561,-0.2258113016308051
ACH-001699,0.0504439885307827,-0.163311630425426
ACH-001737,0.062927607681632,-0.1575499244544095
ACH-001819,-0.0735015053303602,-0.136000623081351
ACH-001843,0.3362877472267709,0.2871279122694426
ACH-002040,-0.0543286894945217,-0.0871084353728106
ACH-002043,0.0964970640619482,-0.0492776166225255
ACH-002051,0.023612755928801,-0.2112402919290372
ACH-002060,-0.0745149365331644,-0.136817762792629
ACH-002141,0.11353407196602,-0.3137998833065553
ACH-002233,-0.1349383243471024,-0.1856111692889641
ACH-002247,0.0585245260318456,-0.15529731915285
ACH-002257,-0.0264066934543145,-0.1851425656186972
ACH-002500,0.0417994855200517,-0.033022195647761
ACH-002530,0.0081490274966506,-0.06702816613892
ACH-003191,0.0752338357884083,-0.2663556717370171
ACH-000005,0.1279909934967389,-0.153365929475522
ACH-000011,0.0206866436499823,0.0799725943016684
ACH-000067,-0.0911567335610693,-0.0783961743990124
ACH-000076,0.0516221829034191,-0.0784731005109428
ACH-000093,-0.2253409271900261,-0.1070680333279503
ACH-000095,0.0487020260332574,-0.0297682308079713
ACH-000098,0.0372367032612486,-0.1974187435360325
ACH-000115,-0.1045090455880875,0.0341622996021993
ACH-000116,-0.0665215534358844,0.0171355509949085
ACH-000132,-0.0232934144996141,-0.0965773324779915
ACH-000139,-0.2762734625907055,0.1477231301609207
ACH-000159,0.0206146418256748,0.0102369883944109
ACH-000172,0.0514134238076042,-0.0803694144339294
ACH-000174,-0.012379698668147,-0.1404320810951276
ACH-000182,0.0169232649819906,-0.1788184582492841
ACH-000212,-0.0901897999181239,-0.226467682791539
ACH-000226,-0.0201961805101068,-0.0950489982607893
ACH-000228,0.0717103956414292,-0.1989788173176574
ACH-000233,-0.0541071236653069,-0.0009998546233782
ACH-000234,-0.0709812050336624,0.0009215883867721
ACH-000260,-0.0721341602903949,0.0079059802648426
ACH-000264,-0.099869120552882,-0.1242169923284008
ACH-000277,-0.1909280849388583,-0.0694019267972581
ACH-000293,0.2634762417084359,-0.4095110503208768
ACH-000294,-0.0971551577299259,-0.1340933685632739
ACH-000335,-0.1313619084443718,-0.151407840756133
ACH-000344,-0.0427838049497845,-0.0797343150537562
ACH-000371,-0.0767186498836696,0.0330759876416721
ACH-000376,0.0704187077882523,-0.1869705896642232
ACH-000381,0.0873282185700846,-0.0319003496511322
ACH-000403,-0.0176969101275852,-0.0638560734243338
ACH-000404,0.0732391755447954,0.0345216586352407
ACH-000503,0.008055843164514,-0.1595435219834254
ACH-000504,-0.0234959516627289,-0.0654194434644843
ACH-000547,-0.1454473784649919,-0.0726026864597402
ACH-000548,0.0468176696497711,-0.2410588727151652
ACH-000549,-0.1187699862531479,-0.1599369872584724
ACH-000584,-0.0020580093153546,0.0492095567276315
ACH-000616,-0.020296800721452,0.0518493196187392
ACH-000620,-0.1077976042980154,-0.1293985965312692
ACH-000663,0.2139378746301069,-0.1595419822800045
ACH-000746,-0.0166275414573534,-0.1656800137885767
ACH-000753,-0.0585362558211268,-0.1054649457194511
ACH-000756,-0.1028227622231856,-0.0299959996339109
ACH-000823,-0.0019484201254033,-0.2020747911951415
ACH-000831,0.0029980418408047,-0.0645739120704786
ACH-000853,-0.0092301431566106,-0.2221182073129796
ACH-000860,-0.0079511593405437,-0.0605338162978945
ACH-000864,0.1976594797463259,-0.2419175370575779
ACH-000882,0.0175682166724813,-0.0307840737900689
ACH-000919,0.1816187392741202,-0.2665190499123838
ACH-000924,-0.1905426726195861,-0.1377012141732029
ACH-000926,-0.020526636447749,-0.0947543839681457
ACH-000970,-0.2937172486677042,-0.025870625322739
ACH-000980,-0.0790260013259526,-0.0262833115583258
ACH-000983,0.0043565457671549,-0.1649506610707236
ACH-001020,0.0507718301926318,-0.0704216560022713
ACH-001054,0.035436515583773,0.0986322548631763
ACH-001111,-0.2260962824088104,-0.0678848352725195
